;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;
;1995;1995;1995;1995;1996;1996;1996;1996;1997;1997;1997;1997;1998;1998;1998;1998;1999;1999;1999;1999;2000;2000;2000;2000;2001;2001;2001;2001;2002;2002;2002;2002;2003;2003;2003;2003;2004;2004;2004;2004;2005;2005;2005;2005;2006;2006;2006;2006;2007;2007;2007;2007;2008;2008;2008;2008;2009;2009;2009;2009;2010;2010;2010;2010;2011;2011;2011;2011;2012;2012;2012;2012;2013;2013;2013;2013;2014;2014;2014;2014;
;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;
Кърджали;7.2;9.5;11.9;9.0;12.0;14.7;22.6;34.3;190.3;130.5;168.8;215.1;240.5;233.2;230.0;218.8;221.3;201.2;172.5;171.5;177.5;144.3;166.0;180.0;187.5;198.2;198.2;198.0;212.5;219.5;234.8;242.2;260.4;279.5;337.7;378.3;409.8;475.0;531.8;590.8;663.8;617.8;628.2;582.2;635.3;605.0;603.0;671.7;702.2;706.0;726.3;777.0;819.7;843.2;855.7;821.7;719.7;649.7;617.4;677.9;648.0;676.1;706.9;702.3;696.9;685.3;684.3;683.5;674.4;686.2;681.8;662.2;663.0;664.3;647.0;645.8;651.4;645.6;648.9;654.7;
Кюстендил;9.4;12.5;16.1;15.8;15.9;17.5;27.5;45.3;202.6;214.2;246.9;277.4;285.3;275.6;275.0;253.0;253.6;253.5;258.1;244.0;240.7;224.2;208.3;211.0;208.5;203.2;205.0;205.2;210.8;210.5;207.5;202.2;197.7;188.7;190.5;195.0;198.8;217.2;240.5;290.3;316.5;371.7;375.3;398.2;433.7;438.3;462.7;502.2;557.7;582.5;607.3;658.8;678.5;779.3;751.3;763.0;599.1;540.9;545.9;578.1;542.7;569.4;575.5;579.7;576.6;565.8;553.8;563.5;549.6;555.0;535.8;537.2;525.1;512.5;516.5;504.0;493.0;491.6;479.5;472.4;
Ловеч;9.6;10.9;13.4;12.9;17.4;20.7;24.2;110.0;210.2;204.2;236.4;252.9;209.6;316.7;265.7;224.1;298.3;304.6;187.2;211.7;211.5;245.5;194.0;123.0;125.0;130.0;138.0;147.0;147.0;158.0;160.8;161.7;163.8;185.0;196.2;190.4;247.1;244.2;297.7;297.7;341.8;335.9;364.9;420.5;502.6;535.0;513.5;609.0;613.0;624.3;650.8;696.3;828.5;883.0;909.2;885.3;775.4;700.0;699.8;697.6;675.5;686.0;677.0;648.6;628.2;620.8;622.9;613.7;594.5;591.1;585.1;578.0;580.4;570.3;559.3;562.2;568.5;558.2;555.6;551.2;
Монтана;9.4;11.7;12.4;13.6;14.0;14.2;28.1;71.5;183.9;194.5;273.7;255.9;250.7;245.6;235.5;227.2;260.4;237.0;253.6;242.7;234.3;170.2;222.4;236.2;223.3;211.8;228.2;223.6;222.6;201.3;212.5;232.8;227.0;211.4;219.2;217.8;242.0;244.3;324.4;377.0;431.0;462.5;498.5;527.6;561.8;615.4;670.3;717.5;739.8;786.0;777.3;811.5;857.3;903.7;941.7;976.2;933.3;879.7;736.5;721.0;726.9;764.2;739.4;735.7;720.0;701.1;675.7;619.8;610.5;607.3;586.5;584.2;579.5;577.5;571.1;562.2;564.9;567.0;558.8;543.5;
Пазарджик;10.0;9.9;10.2;10.7;12.9;14.7;32.3;39.8;177.4;179.7;204.7;191.5;252.8;231.8;197.4;204.2;179.3;234.0;174.4;192.6;187.2;201.2;216.0;219.0;226.0;216.5;208.7;216.0;215.0;216.0;218.5;213.5;220.7;213.7;222.3;231.0;232.7;265.0;314.8;374.7;421.7;448.8;468.5;502.2;528.5;570.8;608.0;646.3;669.2;720.7;733.8;758.8;836.2;869.3;895.8;864.3;788.7;713.1;667.1;657.1;626.1;651.5;656.7;660.0;654.7;645.8;653.9;670.3;676.4;672.9;654.7;636.5;622.4;620.6;620.8;616.0;618.7;616.4;604.9;604.2;
Перник;11.3;13.1;16.0;14.7;16.9;17.8;30.5;65.5;197.2;167.0;199.7;217.0;259.5;259.1;227.2;260.8;235.7;237.7;249.1;207.5;228.8;213.7;235.2;210.5;201.2;198.7;202.2;199.0;196.0;179.0;203.7;205.7;192.8;192.3;230.5;254.5;330.8;359.7;400.5;498.2;548.0;517.3;531.3;532.5;592.2;630.8;651.0;750.0;853.5;876.0;942.7;1000.7;1160.8;1199.2;1170.5;1049.5;949.5;908.5;865.2;839.8;844.3;832.2;790.3;750.5;731.8;720.5;704.5;655.8;666.7;648.8;654.2;642.4;629.1;620.0;617.8;610.1;614.3;600.9;586.7;575.2;
Плевен;8.8;14.4;15.6;15.9;17.9;25.3;36.6;69.5;280.8;212.7;281.4;290.7;271.6;304.8;277.4;261.7;276.4;311.5;307.7;245.4;258.8;278.3;338.7;292.7;298.8;297.8;315.7;284.3;272.8;272.8;271.0;264.3;283.7;280.8;327.2;365.8;468.7;474.3;501.2;657.7;751.2;719.2;717.0;767.3;750.2;745.5;785.3;797.0;878.3;975.3;1053.5;1110.7;1233.8;1358.0;1434.0;1267.7;1127.6;990.2;952.0;891.5;825.7;831.0;851.2;845.3;844.0;827.5;797.1;766.0;782.5;798.6;804.0;789.1;786.1;792.0;788.3;788.8;790.0;779.0;764.8;757.5;
Пловдив;12.1;12.8;13.2;15.5;17.7;21.9;33.2;55.1;286.1;258.8;339.9;338.7;317.9;343.8;338.8;332.8;341.4;362.6;354.0;352.0;351.0;334.0;353.8;326.3;350.7;373.5;366.8;355.2;364.5;338.5;331.2;332.0;339.0;349.3;390.3;429.3;495.8;566.2;662.0;783.7;814.3;850.8;905.3;881.0;903.8;895.5;973.7;988.2;1050.8;1103.2;1162.2;1256.5;1316.8;1491.0;1655.7;1620.8;1351.0;1160.0;1073.1;1012.3;1029.9;1056.1;1025.2;1034.3;1005.4;957.9;976.2;948.0;926.3;951.0;935.2;929.5;919.7;922.7;931.2;935.0;943.7;956.3;947.7;959.2;
Разград;8.7;9.0;11.1;12.1;11.7;16.3;21.0;20.1;182.4;209.1;226.9;251.9;262.3;239.5;269.0;248.1;244.8;253.5;266.4;262.2;251.0;246.5;243.8;246.7;250.0;249.8;262.8;239.7;235.5;236.5;236.5;236.3;237.3;236.8;236.5;239.2;243.2;245.5;262.7;274.2;351.0;398.8;474.2;502.5;527.8;540.8;569.3;594.8;671.2;722.7;770.8;812.0;880.0;932.5;985.7;956.8;928.5;898.2;863.5;841.3;761.1;733.0;734.5;708.2;678.8;659.3;662.7;656.7;647.0;669.1;665.7;646.2;647.0;646.7;652.1;654.8;657.5;657.9;645.3;643.2;
Русе;12.1;13.1;13.7;17.8;19.0;23.5;33.1;61.7;236.6;311.3;315.7;351.0;312.1;339.2;313.4;286.0;316.5;318.6;324.1;293.7;330.8;324.0;319.7;289.2;282.2;289.8;289.0;274.3;292.7;289.2;285.5;280.0;279.0;280.0;288.2;321.5;382.7;425.5;529.8;546.0;654.2;739.8;751.5;762.5;878.8;856.7;876.7;970.5;1066.0;1182.7;1302.5;1496.8;1732.0;1749.2;1646.2;1482.3;1203.6;1030.7;994.8;938.7;946.5;902.5;871.3;850.8;872.2;883.4;865.5;840.3;861.0;870.5;877.3;883.4;885.3;878.8;884.4;880.2;881.2;891.0;882.4;893.9;
