freq,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PTIR_I15,NL	121.04 e	121.92 e	124.35 e	125.13 e	128.07 e	132.28 	129.30 	129.94 	128.53 	120.92 	116.98 	113.18 	105.40 	99.19 	97.91 	100.00 	102.70 	108.55 	113.21 	115.78 	121.35 	130.68 	138.67 	126.94 
A,PTIR_I15,PL	: 	: 	: 	: 	: 	96.19 e	123.76 e	171.83 e	157.23 e	142.84 e	127.80 	121.99 	112.85 	106.21 	101.55 	100.00 	97.44 	96.18 	96.66 	97.93 	98.34 	102.25 	101.96 	99.56 
A,PTIR_I15,PT	121.00 e	121.59 e	117.07 e	115.41 e	112.21 e	113.92 e	113.25 e	110.17 e	107.06 	104.90 	104.73 	102.68 	98.72 	96.93 	100.84 	100.00 	103.51 	109.86 	115.67 	121.65 	133.01 	137.28 	143.19 	146.51 
A,PTIR_I15,RO	: 	: 	: 	: 	: 	: 	: 	: 	223.04 e	172.13 	147.73 	123.05 	111.13 	110.14 	104.65 	100.00 	95.82 	88.02 	85.26 	72.87 	74.58 	71.56 	67.06 	62.68 
A,PTIR_I15,SE	62.45 e	62.59 e	63.33 e	65.28 e	70.27 e	74.68 	79.74 	84.67 	81.51 	82.04 	85.80 	84.74 	82.86 	85.54 	91.26 	100.00 	104.16 	108.42 	104.30 	103.84 	107.92 	112.51 	110.73 	99.18 
A,PTIR_I15,SI	: 	: 	: 	94.52 e	97.23 e	105.27 e	117.04 e	133.21 	131.61 	120.05 	118.52 	119.46 	113.98 	108.90 	101.10 	100.00 	99.00 	102.36 	105.15 	106.17 	106.00 	109.42 	115.40 	114.58 
A,PTIR_I15,SK	: 	: 	: 	: 	: 	: 	112.72 	129.15 	136.34 	117.14 	109.34 	106.62 	100.94 	100.76 	99.84 	100.00 	103.90 	105.22 	103.81 	107.54 	113.10 	112.52 	116.16 	107.01 
A,PTIR_LT_AVG,AT	88.50 e	88.31 e	87.54 e	84.90 e	81.27 e	88.36 e	87.84 e	87.34 e	85.66 e	85.60 e	86.18 	89.63 	91.83 	96.93 	98.82 	102.89 	106.89 	110.01 	113.00 	117.37 	125.43 	132.47 	137.63 	125.60 
A,PTIR_LT_AVG,BE	75.70 e	76.03 e	79.48 e	83.41 e	88.51 e	96.92 	101.77 	105.07 	104.21 	102.72 	104.19 	105.39 	105.48 	106.11 	104.67 	105.83 	105.71 	106.05 	106.08 	106.24 	109.31 	110.45 	107.77 	102.89 
A,PTIR_LT_AVG,BG	: 	109.86 de	93.57 de	96.10 de	129.02 de	154.61 de	159.13 de	173.94 de	180.84 de	135.37 de	114.92 d	100.75 d	92.36 d	82.77 d	78.70 d	74.87 bd	73.44 d	71.05 d	67.54 d	65.03 d	64.60 d	62.06 d	61.20 bd	58.25 d
A,PTIR_LT_AVG,CY	: 	: 	117.42 e	108.22 e	108.84 e	106.62 	112.33 	119.67 	114.79 	108.23 	102.01 	100.40 	101.33 	100.97 	106.31 	103.79 b	100.00 	97.42 	94.15 	89.24 	87.46 	77.85 	71.85 	71.09 
A,PTIR_LT_AVG,CZ	86.01 e	87.58 e	92.98 e	97.67 e	92.96 e	91.05 e	91.52 e	103.38 e	108.13 	103.55 	99.07 	97.97 	95.48 	95.27 	93.98 	94.85 	97.81 	101.42 	102.38 	104.51 	106.57 	116.26 	124.53 	115.06 
A,PTIR_LT_AVG,DE	111.94 e	107.57 e	104.89 e	102.51 e	99.31 e	98.28 	95.42 	91.06 	89.80 	89.79 	88.45 	88.74 	89.97 	91.13 	91.56 	93.61 	97.97 	100.85 	103.78 	106.70 	113.27 	121.28 	118.78 	103.34 
A,PTIR_LT_AVG,DK	86.83 e	87.05 e	86.17 e	86.09 e	90.53 e	103.12 	122.45 	124.01 	114.31 	96.84 	95.57 	91.84 	88.17 	91.19 	93.82 	97.19 	98.40 	101.08 	102.77 	103.02 	106.55 	114.53 	113.39 	105.10 
A,PTIR_LT_AVG,EA20	: 	: 	: 	: 	: 	100.73 	103.71 	104.79 	103.12 	99.85 	99.64 	99.28 	97.44 	95.03 	94.00 	93.56 	95.19 	96.75 	98.50 	99.80 	104.18 	106.86 	107.56 	99.98 
A,PTIR_LT_AVG,EE	: 	: 	: 	: 	: 	115.24 	143.92 	148.31 	115.82 	78.82 	83.95 	84.19 	86.65 	87.60 	95.50 	95.20 	95.15 	93.40 	88.06 	88.57 	91.91 	97.21 	105.15 	105.33 
A,PTIR_LT_AVG,EL	95.14 e	102.79 e	107.77 e	103.51 e	99.19 e	107.03 e	111.63 e	110.92 e	104.85 e	99.58 e	103.78 e	109.16 e	109.04 e	104.22 e	95.25 e	91.10 e	89.30 e	86.76 e	88.99 e	88.90 e	95.90 e	93.62 e	98.31 e	103.26 ep
A,PTIR_LT_AVG,ES	76.17 e	78.17 e	86.22 e	95.85 e	107.03 e	113.25 e	125.05 	132.30 	125.08 	117.12 	115.13 	106.43 	95.94 	87.38 	87.24 	86.60 	88.39 	91.26 	94.89 	95.78 	99.36 	97.92 	100.87 	96.56 
A,PTIR_LT_AVG,EU27_2020	: 	: 	: 	: 	: 	98.25 	103.27 	107.50 	104.65 	101.41 	99.82 	98.45 	96.23 	94.00 	93.38 	93.52 	95.14 	96.64 	98.45 	99.78 	104.04 	106.75 	107.87 	100.86 
A,PTIR_LT_AVG,FI	99.70 e	94.29 e	95.76 e	97.20 e	100.09 e	105.26 	108.54 	109.05 	103.91 	102.88 	105.45 	104.60 	104.23 	103.66 	102.55 	100.68 b	100.76 	100.16 	97.84 	94.86 	95.29 	96.16 	93.54 	83.54 
A,PTIR_LT_AVG,FR	69.91 	72.25 	75.46 	82.32 	91.63 	102.53 	109.69 	111.87 	109.88 	102.76 	105.07 	109.30 	107.78 	106.15 	103.36 	101.14 	100.87 	101.80 	102.71 	103.41 	107.59 	108.74 	110.59 	103.17 
A,PTIR_LT_AVG,HR	104.01 e	99.32 e	97.16 e	95.42 e	99.04 e	104.77 e	117.90 e	122.16 e	119.44 	111.74 	104.62 	103.85 	102.96 	98.44 	96.50 	91.19 	89.31 	88.67 	88.46 	90.16 	93.91 	92.71 	94.97 	93.30 
A,PTIR_LT_AVG,HU	: 	: 	: 	: 	: 	: 	: 	116.10 	114.30 	108.35 	102.71 	93.31 	87.90 	82.78 	82.07 	88.31 	94.61 	96.73 	99.53 	105.09 	105.88 	108.39 	111.39 	102.55 p
A,PTIR_LT_AVG,IE	105.86 e	107.26 e	104.65 e	112.37 e	117.94 e	120.35 	131.67 	134.31 	120.35 	104.71 	94.75 	79.34 	67.82 	69.58 	79.98 	85.66 	88.79 	93.73 	99.90 	96.60 	92.67 	95.79 	100.69 	95.23 
A,PTIR_LT_AVG,IT	87.78 e	88.47 e	95.15 e	97.89 e	100.71 e	105.11 e	107.63 e	110.03 e	111.71 e	113.65 e	115.56 	115.36 	115.92 	108.42 	102.60 	97.45 	96.33 	93.14 	91.05 	90.11 	92.81 	90.12 	87.92 	85.10 
A,PTIR_LT_AVG,LT	107.35 e	115.18 e	113.62 e	114.74 e	111.06 e	105.80 e	132.95 	149.66 	132.70 	99.70 	91.59 	91.60 	88.31 	84.09 	86.59 	85.35 	82.87 	87.73 	86.61 	83.88 	82.02 	85.74 	90.45 	90.39 
A,PTIR_LT_AVG,LU	58.85 e	63.54 e	64.16 e	69.67 e	77.37 e	93.05 e	94.99 e	93.50 	92.99 	89.78 	92.37 	93.16 	94.17 	95.17 	98.26 	103.62 	109.97 	111.11 	115.42 	122.26 	131.90 	148.12 	154.03 	132.54 
A,PTIR_LT_AVG,LV	96.21 e	89.14 e	115.07 e	123.73 e	106.27 e	145.23 e	133.68 	147.70 	124.25 	91.89 	85.50 	92.20 	88.17 	90.09 	90.46 	82.09 	83.88 	84.74 	85.55 	87.34 	88.10 	88.73 	92.54 	87.43 
A,PTIR_LT_AVG,MT	59.94 e	64.89 e	70.67 e	78.74 e	90.05 e	93.45 	105.45 	119.34 	129.79 	122.28 	117.36 	110.41 	109.77 	103.89 	103.66 	102.81 	103.02 	102.44 	102.07 	102.28 	103.71 	100.34 	103.53 	100.10 p
A,PTIR_LT_AVG,NL	101.86 e	102.60 e	104.64 e	105.30 e	107.77 e	111.32 	108.81 	109.34 	108.16 	101.75 	98.44 	95.24 	88.69 	83.47 	82.39 	84.15 	86.42 	91.34 	95.26 	97.43 	102.12 	109.97 	116.69 	106.82 
A,PTIR_LT_AVG,PL	: 	: 	: 	: 	: 	84.91 e	109.24 e	151.67 e	138.78 e	126.08 e	112.81 	107.68 	99.61 	93.75 	89.63 	88.27 	86.01 	84.89 	85.32 	86.44 	86.80 	90.25 	89.99 	87.88 
A,PTIR_LT_AVG,PT	105.56 e	106.07 e	102.13 e	100.67 e	97.89 e	99.38 e	98.80 e	96.11 e	93.40 	91.51 	91.36 	89.58 	86.11 	84.55 	87.96 	87.24 	90.29 	95.84 	100.90 	106.12 	116.03 	119.76 	124.91 	127.81 
A,PTIR_LT_AVG,RO	: 	: 	: 	: 	: 	: 	: 	: 	208.73 e	161.09 	138.25 	115.15 	104.00 	103.07 	97.93 	93.58 	89.67 	82.37 	79.79 	68.20 	69.79 	66.97 	62.76 	58.66 
A,PTIR_LT_AVG,SE	71.11 e	71.27 e	72.11 e	74.33 e	80.01 e	85.04 	90.79 	96.40 	92.81 	93.41 	97.69 	96.49 	94.35 	97.40 	103.91 	113.86 	118.60 	123.45 	118.76 	118.23 	122.88 	128.10 	126.08 	112.93 
A,PTIR_LT_AVG,SI	: 	: 	: 	85.60 e	88.05 e	95.33 e	105.99 e	120.63 	119.18 	108.71 	107.33 	108.18 	103.22 	98.62 	91.56 	90.56 	89.65 	92.70 	95.22 	96.14 	95.99 	99.08 	104.50 	103.76 
A,PTIR_LT_AVG,SK	: 	: 	: 	: 	: 	: 	102.37 	117.28 	123.81 	106.37 	99.29 	96.83 	91.66 	91.51 	90.66 	90.81 	94.35 	95.56 	94.27 	97.66 	102.71 	102.18 	105.48 	97.18 
