A,QU1,RENT_MKT,M2,DE	: 	66.1 
A,QU1,RENT_MKT,M2,DK	: 	79.0 
A,QU1,RENT_MKT,M2,EA20	: 	69.4 
A,QU1,RENT_MKT,M2,EE	: 	44.6 
A,QU1,RENT_MKT,M2,EL	: 	69.7 
A,QU1,RENT_MKT,M2,ES	: 	80.3 
A,QU1,RENT_MKT,M2,EU27_2020	: 	69.5 
A,QU1,RENT_MKT,M2,FI	: 	51.7 
A,QU1,RENT_MKT,M2,FR	: 	65.1 
A,QU1,RENT_MKT,M2,HR	: 	64.6 
A,QU1,RENT_MKT,M2,HU	: 	57.9 
A,QU1,RENT_MKT,M2,IE	111.1 	: u
A,QU1,RENT_MKT,M2,IT	: 	72.6 
A,QU1,RENT_MKT,M2,LT	: 	54.3 u
A,QU1,RENT_MKT,M2,LU	: 	70.6 
A,QU1,RENT_MKT,M2,LV	: 	47.7 
A,QU1,RENT_MKT,M2,MT	: 	108.0 
A,QU1,RENT_MKT,M2,NL	: 	103.3 
A,QU1,RENT_MKT,M2,NO	: 	70.7 
A,QU1,RENT_MKT,M2,PL	: 	52.0 
A,QU1,RENT_MKT,M2,PT	: 	84.7 
A,QU1,RENT_MKT,M2,RO	: 	: u
A,QU1,RENT_MKT,M2,SE	: 	73.2 
A,QU1,RENT_MKT,M2,SI	: 	71.1 
A,QU1,RENT_MKT,M2,SK	: 	63.1 
A,QU1,RENT_MKT,M2,TR	: 	1.6 
A,QU1,TOTAL,M2,AT	: 	84.6 
A,QU1,TOTAL,M2,BE	: 	111.3 
A,QU1,TOTAL,M2,BG	: 	71.4 
A,QU1,TOTAL,M2,CH	: 	97.3 
A,QU1,TOTAL,M2,CY	: 	114.6 
A,QU1,TOTAL,M2,CZ	: 	76.1 
A,QU1,TOTAL,M2,DE	: 	81.0 
A,QU1,TOTAL,M2,DK	: 	98.2 
A,QU1,TOTAL,M2,EA20	: 	88.6 
A,QU1,TOTAL,M2,EE	: 	63.5 
A,QU1,TOTAL,M2,EL	: 	84.9 
A,QU1,TOTAL,M2,ES	: 	97.3 
A,QU1,TOTAL,M2,EU27_2020	: 	87.2 
A,QU1,TOTAL,M2,FI	: 	72.0 
A,QU1,TOTAL,M2,FR	: 	83.1 
A,QU1,TOTAL,M2,HR	: 	88.3 
A,QU1,TOTAL,M2,HU	: 	81.9 
A,QU1,TOTAL,M2,IE	141.2 	: u
A,QU1,TOTAL,M2,IT	: 	89.7 
A,QU1,TOTAL,M2,LT	: 	64.5 
A,QU1,TOTAL,M2,LU	: 	120.8 
A,QU1,TOTAL,M2,LV	: 	69.7 
A,QU1,TOTAL,M2,MT	: 	126.0 
A,QU1,TOTAL,M2,NL	: 	103.4 
A,QU1,TOTAL,M2,NO	: 	96.8 
A,QU1,TOTAL,M2,PL	: 	96.5 
A,QU1,TOTAL,M2,PT	: 	108.0 
A,QU1,TOTAL,M2,RO	: 	53.4 
A,QU1,TOTAL,M2,SE	: 	83.2 
A,QU1,TOTAL,M2,SI	: 	92.8 
A,QU1,TOTAL,M2,SK	: 	97.3 
A,QU1,TOTAL,M2,TR	: 	1.6 
A,QU2,OWN_L,M2,AT	: 	133.3 
A,QU2,OWN_L,M2,BE	: 	142.4 
A,QU2,OWN_L,M2,BG	: 	: u
A,QU2,OWN_L,M2,CH	: 	129.4 
A,QU2,OWN_L,M2,CY	: 	143.8 
A,QU2,OWN_L,M2,CZ	: 	93.1 
A,QU2,OWN_L,M2,DE	: 	127.9 
A,QU2,OWN_L,M2,DK	: 	143.9 
A,QU2,OWN_L,M2,EA20	: 	119.0 
A,QU2,OWN_L,M2,EE	: 	89.8 
A,QU2,OWN_L,M2,EL	: 	99.0 
A,QU2,OWN_L,M2,ES	: 	103.9 
A,QU2,OWN_L,M2,EU27_2020	: 	117.6 
A,QU2,OWN_L,M2,FI	: 	125.9 
A,QU2,OWN_L,M2,FR	: 	106.9 
A,QU2,OWN_L,M2,HR	: 	101.6 
A,QU2,OWN_L,M2,HU	: 	92.8 
A,QU2,OWN_L,M2,IE	171.9 	: u
A,QU2,OWN_L,M2,IT	: 	99.9 
A,QU2,OWN_L,M2,LT	: 	78.4 
A,QU2,OWN_L,M2,LU	: 	128.6 
A,QU2,OWN_L,M2,LV	: 	80.2 
A,QU2,OWN_L,M2,MT	: 	139.2 
A,QU2,OWN_L,M2,NL	: 	132.5 
A,QU2,OWN_L,M2,NO	: 	139.9 
A,QU2,OWN_L,M2,PL	: 	100.2 
A,QU2,OWN_L,M2,PT	: 	131.8 
A,QU2,OWN_L,M2,RO	: 	: u
A,QU2,OWN_L,M2,SE	: 	108.0 
A,QU2,OWN_L,M2,SI	: 	99.2 
A,QU2,OWN_L,M2,SK	: 	106.6 
A,QU2,OWN_L,M2,TR	: 	1.3 
A,QU2,OWN_NL,M2,AT	: 	130.4 
A,QU2,OWN_NL,M2,BE	: 	143.5 
A,QU2,OWN_NL,M2,BG	: 	80.0 
A,QU2,OWN_NL,M2,CH	: 	126.0 
A,QU2,OWN_NL,M2,CY	: 	148.4 
A,QU2,OWN_NL,M2,CZ	: 	91.2 
A,QU2,OWN_NL,M2,DE	: 	114.9 
A,QU2,OWN_NL,M2,DK	: 	139.2 
A,QU2,OWN_NL,M2,EA20	: 	106.5 
A,QU2,OWN_NL,M2,EE	: 	79.0 
A,QU2,OWN_NL,M2,EL	: 	93.3 
A,QU2,OWN_NL,M2,ES	: 	106.2 
A,QU2,OWN_NL,M2,EU27_2020	: 	99.0 
A,QU2,OWN_NL,M2,FI	: 	105.8 
A,QU2,OWN_NL,M2,FR	: 	104.0 
A,QU2,OWN_NL,M2,HR	: 	97.4 
A,QU2,OWN_NL,M2,HU	: 	87.7 
A,QU2,OWN_NL,M2,IE	175.6 	: u
A,QU2,OWN_NL,M2,IT	: 	100.8 
A,QU2,OWN_NL,M2,LT	: 	70.6 
A,QU2,OWN_NL,M2,LU	: 	174.9 
A,QU2,OWN_NL,M2,LV	: 	73.2 
A,QU2,OWN_NL,M2,MT	: 	143.9 
A,QU2,OWN_NL,M2,NL	: 	130.2 
A,QU2,OWN_NL,M2,NO	: 	121.8 
A,QU2,OWN_NL,M2,PL	: 	100.8 
A,QU2,OWN_NL,M2,PT	: 	117.3 
A,QU2,OWN_NL,M2,RO	: 	52.5 
A,QU2,OWN_NL,M2,SE	: 	100.2 
A,QU2,OWN_NL,M2,SI	: 	100.3 
A,QU2,OWN_NL,M2,SK	: 	101.6 
A,QU2,OWN_NL,M2,TR	: 	1.4 
A,QU2,RENT_FR,M2,AT	: 	88.4 
A,QU2,RENT_FR,M2,BE	: 	90.8 
A,QU2,RENT_FR,M2,BG	: 	71.6 
A,QU2,RENT_FR,M2,CH	: 	95.4 
A,QU2,RENT_FR,M2,CY	: 	114.8 
A,QU2,RENT_FR,M2,CZ	: 	78.3 
A,QU2,RENT_FR,M2,DE	: 	82.4 
A,QU2,RENT_FR,M2,DK	: 	: z
A,QU2,RENT_FR,M2,EA20	: 	81.7 
A,QU2,RENT_FR,M2,EE	: 	61.0 
A,QU2,RENT_FR,M2,EL	: 	80.3 
A,QU2,RENT_FR,M2,ES	: 	94.7 
A,QU2,RENT_FR,M2,EU27_2020	: 	79.6 
A,QU2,RENT_FR,M2,FI	: 	65.5 
A,QU2,RENT_FR,M2,FR	: 	73.4 
A,QU2,RENT_FR,M2,HR	: 	75.5 
A,QU2,RENT_FR,M2,HU	: 	66.6 
A,QU2,RENT_FR,M2,IE	127.7 	: u
A,QU2,RENT_FR,M2,IT	: 	85.2 
A,QU2,RENT_FR,M2,LT	: 	61.0 
A,QU2,RENT_FR,M2,LU	: 	100.1 
A,QU2,RENT_FR,M2,LV	: 	54.2 
