freq,purchase,unit,geo\TIME_PERIOD	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 	2024-Q2 
Q,DW_EXST,I10_Q,EE	83.55 	93.94 	101.36 	115.92 	134.25 	155.09 	162.90 	172.67 	173.72 	183.68 	178.31 	172.52 	166.15 	168.78 	159.61 	136.91 	107.24 	96.71 	90.04 	93.14 	99.47 	99.39 	100.82 	100.31 	107.96 	109.92 	107.54 	108.40 	111.08 	113.10 	117.15 	117.44 	119.27 	127.22 	131.17 	133.19 	137.48 	143.60 	142.98 	142.90 	143.00 	152.68 	148.36 	150.76 	151.76 	155.67 	155.12 	158.18 	161.08 	164.34 	164.69 	167.46 	164.68 	168.84 	172.94 	177.74 	176.55 	179.69 	183.85 	190.09 	196.16 	180.17 	185.56 	193.63 	205.73 	215.64 	224.65 	238.99 	260.83 	280.63 	287.35 	281.26 	269.47 	283.97 	287.82 	286.85 	297.56 	305.10 
Q,DW_EXST,I10_Q,ES	: 	: 	: 	99.26 	103.43 	108.84 	111.93 	114.50 	116.83 	120.02 	120.32 	117.27 	116.07 	114.13 	109.98 	104.68 	101.52 	101.38 	100.91 	101.03 	100.11 	101.37 	99.13 	99.39 	93.84 	92.98 	89.61 	85.78 	81.40 	78.37 	74.94 	73.73 	68.95 	68.88 	68.95 	68.04 	67.76 	69.04 	69.05 	69.22 	68.51 	71.69 	72.18 	71.97 	72.87 	73.91 	74.67 	75.16 	76.72 	78.18 	79.66 	80.54 	81.57 	83.66 	85.51 	85.74 	86.70 	87.92 	89.30 	88.68 	89.07 	89.51 	90.02 	89.08 	89.73 	92.14 	93.89 	94.80 	97.08 	99.35 	101.22 	99.84 	100.07 	102.25 	104.57 	103.55 	105.83 	109.77 
Q,DW_EXST,I10_Q,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.09 	98.84 	100.21 	100.82 	100.14 	100.02 	100.92 	100.64 	99.54 	98.88 	98.94 	98.87 	98.16 	96.96 	97.78 	98.20 	97.86 	98.10 	99.54 	100.43 	100.09 	100.29 	102.08 	103.40 	103.84 	104.85 	106.81 	108.67 	109.23 	110.06 	112.14 	114.02 	114.61 	115.47 	117.47 	119.36 	120.00 	120.40 	122.57 	124.43 	125.29 	127.19 	129.22 	131.01 	132.75 	135.37 	139.59 	144.15 	146.97 	149.92 	153.12 	154.23 	150.92 	149.46 	149.70 	150.26 	149.16 	149.74 	152.47 
Q,DW_EXST,I10_Q,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.33 	98.92 	100.19 	100.61 	100.28 	100.53 	101.44 	100.87 	99.83 	99.24 	98.97 	98.65 	98.03 	96.70 	97.32 	97.35 	96.88 	96.92 	97.96 	98.36 	97.94 	98.24 	99.91 	100.81 	101.10 	102.08 	103.95 	105.67 	106.36 	107.29 	109.23 	110.95 	111.65 	112.72 	114.74 	116.50 	117.33 	118.07 	120.38 	122.19 	123.19 	125.06 	127.06 	128.81 	130.53 	133.10 	137.25 	141.73 	144.51 	147.40 	150.55 	151.65 	148.39 	146.96 	147.19 	147.74 	146.66 	147.23 	149.91 
Q,DW_EXST,I10_Q,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.10 	98.84 	100.21 	100.81 	100.13 	100.02 	100.91 	100.64 	99.54 	98.88 	98.93 	98.86 	98.14 	96.94 	97.76 	98.18 	97.84 	98.08 	99.52 	100.41 	100.07 	100.27 	102.06 	103.38 	103.82 	104.83 	106.79 	108.65 	109.21 	110.04 	112.12 	114.00 	114.59 	115.45 	117.45 	119.33 	119.98 	120.38 	122.55 	124.41 	125.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,DW_EXST,I10_Q,FI	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	88.55 	91.16 	93.00 	95.74 	98.38 	100.19 	100.83 	100.60 	102.19 	103.89 	102.93 	101.55 	103.33 	104.24 	103.90 	103.98 	104.50 	105.19 	104.67 	104.06 	103.78 	104.27 	103.76 	102.68 	102.76 b	103.60 	103.49 	102.79 	103.43 	104.79 	104.91 	104.06 	104.27 	105.91 	105.08 	104.62 	105.10 	106.51 	105.67 	105.47 	105.46 	107.10 	105.95 	104.80 	105.88 	107.14 	107.76 	108.30 	109.93 	112.77 	112.49 	112.50 	113.10 	115.04 	112.87 	108.95 	106.30 	106.25 	103.72 	102.91 	100.61 	101.65 
Q,DW_EXST,I10_Q,FR	79.92 	83.41 	87.62 	89.22 	91.34 	94.19 	97.44 	98.16 	98.85 	100.59 	103.02 	103.77 	103.07 	103.09 	103.62 	99.84 	95.49 	93.76 	95.53 	95.71 	96.61 	98.62 	101.80 	102.97 	103.39 	105.59 	108.05 	106.76 	105.30 	105.34 	106.28 	104.57 	103.21 	103.01 	103.80 	102.58 	101.28 	101.60 	102.29 	99.97 	98.82 	98.88 	100.42 	99.54 	99.09 	99.50 	101.73 	101.03 	101.54 	102.56 	105.06 	104.32 	104.55 	105.50 	108.14 	107.71 	107.70 	108.80 	111.56 	111.75 	113.01 	114.98 	117.40 	118.92 	119.69 	121.72 	126.08 	127.41 	128.50 	130.53 	134.28 	133.25 	131.94 	131.20 	131.87 	128.01 	125.04 	124.65 p
Q,DW_EXST,I10_Q,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	112.65 	112.84 	114.84 	112.65 	110.65 	105.40 	103.03 	102.99 	100.52 	100.69 	99.52 	99.27 	98.55 	98.86 	99.47 	99.18 	98.58 	97.10 	96.70 	93.65 	92.37 	92.82 	92.70 	91.76 	91.72 	92.50 	90.74 	90.01 	90.96 	89.35 	89.38 	90.11 	91.50 	91.06 	92.02 	91.72 	92.21 	95.51 	95.93 	99.36 	100.38 	100.27 	103.16 	104.35 	107.51 	111.00 	111.45 	115.21 	118.84 	120.74 	119.95 	123.64 	124.32 	128.63 	130.93 	134.00 	139.90 	145.73 	149.94 	157.37 	160.85 	166.03 	165.86 	173.71 	176.14 	183.61 
Q,DW_EXST,I10_Q,HU	: 	: 	: 	: 	: 	: 	: 	: 	100.91 	103.42 	108.25 	109.40 	107.41 	108.71 	109.14 	106.73 	105.96 	102.48 	101.21 	98.16 	101.23 	100.37 	100.13 	98.27 	97.94 	97.16 	95.88 	95.32 	96.27 	92.80 	91.84 	90.01 	90.29 	90.43 	90.57 	89.28 	91.04 	92.87 	94.72 	97.01 	99.42 	105.00 	109.61 	111.49 	116.50 	119.21 	122.78 	124.63 	129.99 	133.26 	137.30 	139.97 	147.09 	151.34 	157.79 	162.05 	175.93 	181.91 	184.70 	183.39 	189.59 	184.32 	191.92 	188.55 	206.29 	214.86 	223.21 	231.16 	253.87 	268.97 	278.16 	271.17 	282.30 	282.22 	284.05 p	287.07 p	309.60 p	309.31 p
Q,DW_EXST,I10_Q,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	105.00 	101.46 	98.89 	94.65 	90.11 	85.20 	80.09 	75.80 	72.14 	70.28 	71.48 	72.41 	70.63 	70.75 	75.00 	77.37 	78.73 	83.30 	90.05 	92.81 	92.56 	94.35 	97.14 	98.47 	98.74 	100.02 	104.72 	107.54 	108.87 	111.55 	118.09 	121.34 	122.99 	125.69 	128.47 	129.29 	127.68 	128.11 	130.12 	129.63 	128.25 	127.81 	128.05 	129.97 	132.32 	136.33 	144.68 	151.46 	155.73 	158.44 	162.94 	163.89 	161.34 	159.41 	161.46 	166.34 	170.55 	173.18 p
